"STATISTIC","Statistic Label","C02199V02655","Sex","C03367V04052","County and City","TLIST(A1)","CensusYear","C02076V03371","Age Group","UNIT","VALUE"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","-","All ages","Number","4588252"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","205","0 - 4 years","Number","356329"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","245","5 - 9 years","Number","320770"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","265","10 - 14 years","Number","302491"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","300","15 - 19 years","Number","283019"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","365","20 - 24 years","Number","297231"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","410","25 - 29 years","Number","361122"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","440","30 - 34 years","Number","393945"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","460","35 - 39 years","Number","364261"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","475","40 - 44 years","Number","330812"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","495","45 - 49 years","Number","305185"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","515","50 - 54 years","Number","274386"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","530","55 - 59 years","Number","244522"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","550","60 - 64 years","Number","218786"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","565","65 - 69 years","Number","173638"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","580","70 - 74 years","Number","131190"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","595","75 - 79 years","Number","102036"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","610","80 - 84 years","Number","70113"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2011","2011","630","85 years and over","Number","58416"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","-","All ages","Number","4761865"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","205","0 - 4 years","Number","331515"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","245","5 - 9 years","Number","355561"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","265","10 - 14 years","Number","319476"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","300","15 - 19 years","Number","302816"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","365","20 - 24 years","Number","273636"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","410","25 - 29 years","Number","297435"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","440","30 - 34 years","Number","361975"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","460","35 - 39 years","Number","389421"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","475","40 - 44 years","Number","357460"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","495","45 - 49 years","Number","326110"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","515","50 - 54 years","Number","299935"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","530","55 - 59 years","Number","270102"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","550","60 - 64 years","Number","238856"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","565","65 - 69 years","Number","211236"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","580","70 - 74 years","Number","162272"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","595","75 - 79 years","Number","115467"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","610","80 - 84 years","Number","81037"
"E2022","Population 2011 to 2016","-","Both sexes","IE","State","2016","2016","630","85 years and over","Number","67555"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","-","All ages","Number","54612"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","205","0 - 4 years","Number","4345"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","245","5 - 9 years","Number","4101"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","265","10 - 14 years","Number","3703"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","300","15 - 19 years","Number","3390"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","365","20 - 24 years","Number","3616"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","410","25 - 29 years","Number","4099"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","440","30 - 34 years","Number","4563"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","460","35 - 39 years","Number","4311"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","475","40 - 44 years","Number","3929"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","495","45 - 49 years","Number","3601"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","515","50 - 54 years","Number","3287"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","530","55 - 59 years","Number","2876"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","550","60 - 64 years","Number","2580"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","565","65 - 69 years","Number","2036"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","580","70 - 74 years","Number","1565"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","595","75 - 79 years","Number","1146"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","610","80 - 84 years","Number","818"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2011","2011","630","85 years and over","Number","646"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","-","All ages","Number","56932"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","205","0 - 4 years","Number","4056"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","245","5 - 9 years","Number","4420"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","265","10 - 14 years","Number","4135"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","300","15 - 19 years","Number","3686"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","365","20 - 24 years","Number","3324"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","410","25 - 29 years","Number","3388"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","440","30 - 34 years","Number","4136"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","460","35 - 39 years","Number","4498"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","475","40 - 44 years","Number","4297"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","495","45 - 49 years","Number","3914"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","515","50 - 54 years","Number","3611"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","530","55 - 59 years","Number","3246"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","550","60 - 64 years","Number","2864"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","565","65 - 69 years","Number","2467"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","580","70 - 74 years","Number","1888"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","595","75 - 79 years","Number","1355"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","610","80 - 84 years","Number","908"
"E2022","Population 2011 to 2016","-","Both sexes","CW","Carlow","2016","2016","630","85 years and over","Number","739"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","-","All ages","Number","527612"
